time_s,imu_id,qw,qx,qy,qz,gyro_x_dps,gyro_y_dps,gyro_z_dps,acc_x_ms2,acc_y_ms2,acc_z_ms2,mag_x_uT,mag_y_uT,mag_z_uT
2.032,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.134479685470003,0.00516062725769867,-0.0138411557439206,0.07,-0.05,-0.07,-49.5625,-162.0625,2.1875
2.048,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.261041174866011,-0.353321566448848,-0.0103483048735957,0.09,-0.04,-0.07,-49.5625,-162.0625,2.6875
2.064,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.189003260370923,0.0351159874995243,-0.0205361478738872,0.08,-0.05,-0.07,-49,-162.5,2.6875
2.08,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0857942237671376,-0.164259037714193,-0.00151855190386793,0.09,-0.04,-0.08,-49,-162.5,2.6875
2.096,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.168319033084089,0.0898617017073091,-0.0201674951158528,0.08,-0.02,-0.08,-49,-162.5,1.5625
2.112,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.123292074945821,-0.0598975834291481,0.013637540437792,0.09,-0.03,-0.09,-50,-162.0625,1.5625
2.128,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.139227993851329,0.00515624823953097,-0.0139236744698735,0.09,-0.04,-0.07,-50,-162.0625,1.5625
2.144,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.23451883438112,-0.159111547510998,-0.0156072638256473,0.1,-0.04,-0.06,-50,-162.0625,1.5625
2.16,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.209086298712959,0.104361454285045,0.0151560923416599,0.09,-0.03,-0.09,-49.5625,-162.5,2
2.176,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0360189572475436,-0.194218776974186,0.00509392150014576,0.06,-0.04,-0.06,-49.5625,-162.5,2
2.192,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.189003260370923,0.0351159874995243,-0.0205361478738872,0.09,-0.04,-0.09,-49.25,-162.0625,2.375
2.208,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0847044189504087,0.0247991120022946,0.00722868233990689,0.09,-0.05,-0.08,-49.25,-162.0625,2.375
